Manufacturer name;Manufacturer part number;PAR part number;Product name;Vendor account;Last receipt date
ICP Electronics;41119-2008C0-00-RS;980029522;M3716/T PCBA Mount Bracket;;
legrand;41233;980019601;Dvi-M-M Cable 25ft;;
LEVITON;41291-1BW;555002501;Blank,1 Unit High (Mos Module);WES25;10/18/2022
Monoprice;41713;988019001;8 Port Switch 10/100/1000;MON35;2/20/2023
MONOPRICE.COM;41713;988019001;8 Port Switch 10/100/1000;MON35;2/20/2023
BR METAL TECHNOLOGY, INC.;4200;K5283;Bump Bar Bracket;BRM01;10/31/2022
legrand;4200073;C5300;Serial Modem C/A Db9f/Db25m;;
IEI INTERGRATION CORP;42005-0035XX;001864702;Screw-Captive Cable Door Rohs;;
Jensen Supply and Tool;420-228;755005301;Lbl,Esd Orange Reusable Seal;CON07;10/11/2021
Viatech Publishing;422599;K3210;Fp Rdr Cleaning Kit Yum;VIA01;12/16/2022
IEI INTEGRATION CORP;42302-0146C2-00-RS;980029503;M3720: Heatsink;;
Microsoft;42C-00039;989008301;Win 7 Pro Emb 32/64bit License;;
Microsoft;42C-00075;989007501;S/W Win Pro 8.1 32 Bit Os;;
Thruway Fasteners;42TFPTXPLAS000N018B;26102133670;Screw,TF,0-42x.188,Plastite,Pan,Torx,Stl,Zinc w/Black Magni;;
Thruway Fasteners;42TFPTXPLAS000N018Z;26102188450;Screw,TF,0-42x.188,Plastite,Cheese Hd,Torx,Stl,Zinc;;
IEI INTERGRATION CORP;4305G6-238x2T;980018606;"Gasket 15"" Crew Display";ICP01;10/24/2022
ICP Electronics;43101-0492C2-00-RS;980029531;K3720 Front Bezel;;
ICP Electronics;43103-4575C2-00-RS;980029530;K3720 Bump Bar Assembly without cable / brackets;;
